"beta","factor","rc.1","rc.2","rc.3","rc.4","rb.1","rb.2","rb.3","rb.4","rb.5"
0.97106432160804,205.285403242814,-1.3702315314498,-0.21312632931217,-0.0287930142015913,-0.00123170275460209,-213.885116878656,-1.28929448819084,-0.202301742141432,-0.0268961373699347,-0.00108159418812945
0.979857788944724,300.489555730983,-1.36201799770738,-0.21218905576251,-0.0286582791071484,-0.00122065579837705,-309.223890814764,-1.30546680779661,-0.204632971632786,-0.0273323002957987,-0.00111523041963201
0.988651256281407,543.469396498517,-1.35388064694084,-0.211256744312089,-0.0285239789447576,-0.00120963930500926,-552.341304035251,-1.32189626591743,-0.206987423661708,-0.0277737301312899,-0.00114970683196404
0.99744472361809,2459.87866301249,-1.34581837112664,-0.210329333854234,-0.0283901048752472,-0.00119865294368006,-2468.89118034044,-1.33858870054524,-0.20936532820854,-0.0282204651638107,-0.00118503729402176
1.00623819095477,-1026.98636805564,-1.33783008225562,-0.209406763938618,-0.0282566481046231,-0.00118769636566949,1017.83011403809,-1.3555501334876,-0.211766918452284,-0.0286725437534263,-0.00122123570070516
1.01503165829146,-434.442296813467,-1.32991471018251,-0.208488974388463,-0.0281235998237733,-0.00117676920149614,425.139086288572,-1.37278677605627,-0.214192430455721,-0.0291300042735839,-0.00125831596602112
1.02382512562814,-279.424266947043,-1.32207120360188,-0.20757590562342,-0.0279909512663153,-0.00116587106348309,269.97078365127,-1.39030503820651,-0.216642103552255,-0.0295928851685898,-0.00129629202190187
1.03261859296482,-208.084583308998,-1.3142985293982,-0.206667498572661,-0.0278586936957601,-0.00115500154420861,198.477410843014,-1.40811153646636,-0.219116180330838,-0.0300612249405302,-0.00133517781411719
1.04141206030151,-167.12076481041,-1.30659567217263,-0.205763694667731,-0.0277268184076874,-0.00114416021723525,157.356382776611,-1.42621310243345,-0.221614906699698,-0.0305350621529538,-0.00137498729889742
1.05020552763819,-140.573999748961,-1.29896163398387,-0.204864435863482,-0.0275953167366251,-0.00113334663674644,130.64877970417,-1.44461679192475,-0.224138531981977,-0.0310144354381178,-0.00141573443988197
1.05899899497487,-121.999833021486,-1.29139543391907,-0.203969664628572,-0.027464180057421,-0.00112256033801754,111.910034236422,-1.46332989440168,-0.226687308980905,-0.0314993835001283,-0.00145743320487335
1.06779246231156,-108.297558166537,-1.28389610791572,-0.203079323973311,-0.0273333997924496,-0.0011118008374663,98.0393231777603,-1.48235994315938,-0.229261494088311,-0.0319899451237297,-0.00150009756305657
1.07658592964824,-97.7906023698644,-1.27646270834128,-0.202193357441318,-0.0272029674142615,-0.00110106763252922,87.359952315639,-1.50171472576544,-0.231861347355931,-0.03248615917856,-0.00154374148200979
1.08537939698492,-89.4931513391239,-1.26909430373784,-0.201311709121463,-0.0270728744486192,-0.00109036020319005,78.8859810641656,-1.52140229523517,-0.234487132591297,-0.0329880646257867,-0.00158837892531932
1.09417286432161,-82.7876512948132,-1.26178997851879,-0.200434323654476,-0.0269431124808627,-0.00107967801054805,71.999724211247,-1.5414309817389,-0.237139117450879,-0.0334957005254973,-0.0016340238497028
1.10296633165829,-77.267561767193,-1.2545488326628,-0.199561146236106,-0.0268136731571411,-0.00106902049900563,66.2945044572052,-1.56180940493038,-0.239817573531149,-0.0340091060427022,-0.00168069020292439
1.11175979899497,-72.6543435412457,-1.24736998145576,-0.198692122627349,-0.0266845481904391,-0.00105838709551113,61.4916400853154,-1.58254648699795,-0.242522776471273,-0.0345283204555563,-0.0017283919214775
1.12055326633166,-68.7507774278995,-1.24025255519338,-0.197827199155425,-0.0265557293625986,-0.00104777721074941,57.3937634424835,-1.60365146637906,-0.24525500604721,-0.0350533831621361,-0.00177714292825004
1.12934673366834,-65.4133245501554,-1.23319569892429,-0.196966322723251,-0.026427208529381,-0.00103719023921099,53.8571809166938,-1.625133912278,-0.248014546279038,-0.0355843336887717,-0.00182695713092626
1.13814020100502,-62.5350433907956,-1.22619857215949,-0.196109440809311,-0.0262989776226534,-0.00102662556022917,50.7747896572817,-1.64700373995044,-0.250801685529127,-0.0361212116975006,-0.00187784841980652
1.14693366834171,-60.0346411190729,-1.21926034866872,-0.195256501481213,-0.0261710286551395,-0.00101608253846518,48.0651285524608,-1.66927122696279,-0.253616716620868,-0.0366640569954846,-0.00192983066647187
1.15572713567839,-57.8492344995557,-1.21238021615664,-0.194407453390243,-0.0260433537227699,-0.00100556052447259,45.6651387690804,-1.69194703021167,-0.256459936935977,-0.0372129095422233,-0.0019829177220197
1.16452060301508,-55.9294324918621,-1.2055573760853,-0.193562245785785,-0.0259159450089439,-0.000995058855554564,43.5252459571021,-1.71504220412673,-0.259331648540762,-0.037767809459742,-0.00203712341597388
1.17331407035176,-54.2359159660104,-1.19879104336941,-0.192720828509757,-0.0257887947864464,-0.000984576856532865,41.6059395465726,-1.73856821975141,-0.26223215828924,-0.0383287970404721,-0.00209246155457631
1.18210753768844,-52.7370085151068,-1.19208044619787,-0.191883152010408,-0.0256618954221329,-0.000974113840320867,39.87534311253,-1.76253698512524,-0.26516177795558,-0.0388959127576965,-0.00214894592037763
1.19090100502513,-51.4069187971911,-1.18542482575686,-0.191049167337951,-0.0255352393783508,-0.000963669109026702,38.3074562412287,-1.7869608667379,-0.268120824345176,-0.0394691972742478,-0.00220659027065084
1.19969447236181,-50.224447429892,-1.17882343600521,-0.190218826148944,-0.0254088192161974,-0.000953241954640946,36.880860916784,-1.81185271234624,-0.271109619421076,-0.0400486914519633,-0.00226540833701252
1.20848793969849,-49.1720212958346,-1.17227554349419,-0.189392080715765,-0.0252826275988227,-0.000942831660069178,35.5777552834253,-1.83722587525046,-0.274128490441307,-0.0406344363630683,-0.0023254138247322
1.21728140703518,-48.2349625117931,-1.16578042709096,-0.188568883919899,-0.0251566572937993,-0.000932437499202923,34.3832220365122,-1.8630942399135,-0.27717777007712,-0.0412264732986657,-0.00238662041196882
1.22607487437186,-47.400928191077,-1.15933737780686,-0.187749189261626,-0.0250309011749437,-0.000922058739129649,33.2846675649675,-1.88947224933916,-0.280257796557689,-0.0418248437802108,-0.00244904174975873
1.23486834170854,-46.6594762454224,-1.15294569857057,-0.186932950858872,-0.024905352225286,-0.000911694640165752,32.2713870911603,-1.91637493408833,-0.283368913803813,-0.0424295895698289,-0.00251269146140126
