"beta","factor","rc.1","rc.2","rb.1","rb.2","rb.3"
0.25,1.58966654063343,-0.642875430708157,-0.0225617643622196,-1.52492486528896,-0.0574325492791476,-0.000402653068593447
0.258793467336683,1.61849186575872,-0.636630878857554,-0.0223684380373105,-1.55721655396172,-0.0587497298083762,-0.000425492946025519
0.267586934673367,1.64809092415307,-0.630477057476941,-0.0221766714798869,-1.59036764087277,-0.0600913853262487,-0.000449145858399574
0.27638040201005,1.67849450928644,-0.624412062554202,-0.0219864430487958,-1.6244100321115,-0.0614578893152128,-0.000473639459299931
0.285173869346734,1.70973496736572,-0.618434042759312,-0.0217977314142312,-1.65937721717493,-0.062849621297658,-0.00049900222625794
0.293967336683417,1.74184629541907,-0.612541197604595,-0.0216105155577576,-1.69530436775879,-0.0642669669803673,-0.000525263477366292
0.3027608040201,1.77486424683971,-0.606731775681852,-0.021424774772512,-1.73222844403473,-0.0657103184027482,-0.000552453387820009
0.311554271356784,1.80882644505827,-0.601004072972266,-0.0212404886634973,-1.77018830908351,-0.0671800740888019,-0.000580603006393687
0.320347738693467,1.84377250607055,-0.59535643121519,-0.0210576371476994,-1.80922485219005,-0.068676639202108,-0.0006097442717465
0.329141206030151,1.87974417065217,-0.589787236351012,-0.0208762004545348,-1.84938112186935,-0.0702004257056122,-0.000639910028597995
0.337934673366834,1.91678544714291,-0.584294917015768,-0.0206961591259967,-1.8907024694678,-0.0717518525244116,-0.000671134043706377
0.346728140703518,1.95494276581474,-0.578877943100068,-0.0205174940169885,-1.93323670438622,-0.073331345713209,-0.00070345102166147
0.355521608040201,1.99426514592044,-0.573534824360458,-0.0203401862955331,-1.97703426200288,-0.0749393386276658,-0.000736896620456791
0.364315075376884,2.0348043766586,-0.568264109085445,-0.020164217442969,-2.0221483855436,-0.0765762721002923,-0.000771507466747871
0.373108542713568,2.07661521342089,-0.563064382811603,-0.0199895692540589,-2.06863532326132,-0.0782425946206761,-0.000807321170886398
0.381902010050251,2.11975559084807,-0.557934267090054,-0.0198162238370907,-2.11655454245765,-0.079938762520685,-0.000844376341618488
0.390695477386935,2.16428685439011,-0.552872418297046,-0.0196441636137876,-2.16596896203429,-0.08166524016416,-0.000882712600440381
0.399488944723618,2.21027401227612,-0.547877526491641,-0.0194733713192039,-2.21694520549235,-0.0834225001420218,-0.000922370595578697
0.408282412060301,2.25778601001448,-0.542948314314752,-0.0193038300014461,-2.26955387649263,-0.0852110234723667,-0.000963392015618196
