"beta","factor","rc.1","rc.2","rc.3","rb.1","rb.2","rb.3","rb.4"
1.27883567839196,-25.4042098259739,-0.619649293356247,-0.0637226278496137,-0.00215935977204178,18.4803871147564,-1.21597587857852,-0.124299462144831,-0.00714742710895024
1.28762914572864,-25.122449808299,-0.615964506747586,-0.0633444760347177,-0.00213172824852539,18.0574342852357,-1.23574005109581,-0.126130213517243,-0.00732178411620748
1.29642261306533,-24.8717748158854,-0.612306725633304,-0.062967563737187,-0.00210416616834099,17.6614661730122,-1.25593161114403,-0.127983239500753,-0.00749935057883341
1.30521608040201,-24.6500693325803,-0.60867558205071,-0.0625918692978411,-0.00207667168140809,17.290202605087,-1.27656432905874,-0.129858793812106,-0.00768016147515076
1.31400954773869,-24.4554841385865,-0.605070714287926,-0.0622173714318067,-0.00204924293948324,16.9416210268554,-1.29765259880846,-0.131757134441782,-0.00786425185157781
1.32280301507538,-24.2864019159398,-0.601491766782134,-0.0618440492287766,-0.0020218780980537,16.6139215358317,-1.31921147456534,-0.133678523768942,-0.00805165682689213
1.33159648241206,-24.1414084714783,-0.597938390018716,-0.0614718821531865,-0.00199457531805536,16.3054974873742,-1.34125670991922,-0.135623228679285,-0.00824241159670764
1.34038994974874,-24.0192685747223,-0.594410240432682,-0.0611008500441782,-0.00196733276765954,16.0149106655351,-1.3638047999669,-0.137591520686205,-0.00843655143824611
1.34918341708543,-23.9189056113486,-0.590906980310673,-0.0607309331152458,-0.00194014862403876,15.7408702150193,-1.38687302652531,-0.139583676054879,-0.00863411171533821
1.35797688442211,-23.8393844116824,-0.587428277694973,-0.0603621119537343,-0.00191302107509284,15.4822146883821,-1.41047950674974,-0.14159997592981,-0.00883512788365182
1.36677035175879,-23.7798967379785,-0.583973806287704,-0.0599943675201072,-0.00188594832109538,15.2378966864619,-1.43464324545953,-0.143640706465497,-0.00903963549614667
1.37556381909548,-23.7397490130776,-0.58054324535784,-0.0596276811469909,-0.00185892857642365,15.0069696680485,-1.45938419151683,-0.145706158960856,-0.00924767020878863
1.38435728643216,-23.7183519511335,-0.577136279647899,-0.0592620345380215,-0.00183196007113627,14.7885765823305,-1.48472329862653,-0.147796629996921,-0.00945926778644043
1.39315075376884,-23.7152118143776,-0.573752599283325,-0.0588974097664741,-0.00180504105263337,14.5819400399162,-1.51068259098075,-0.149912421578525,-0.00967446410899778
1.40194422110553,-23.7299230704139,-0.570391899681826,-0.0585337892737414,-0.00177816978713909,14.3863537879543,-1.53728523420331,-0.152053841279533,-0.00989329517769283
1.41073768844221,-23.7621622661063,-0.567053881464225,-0.0581711558675201,-0.00175134456127278,14.2011752952549,-1.56455561211135,-0.154221202392069,-0.0101157971216279
1.41953115577889,-23.8116829680274,-0.563738250367213,-0.0578094927199527,-0.00172456368349201,14.0258192859962,-1.59251940986764,-0.156414824079968,-0.0103420062044996
1.42832462311558,-23.8783116473324,-0.560444717155969,-0.0574487833654289,-0.00169782548552898,13.8597520871983,-1.62120370415527,-0.158635031536142,-0.0105719588314842
1.43711809045226,-23.961944410666,-0.557172997538992,-0.0570890116982991,-0.00167112832381338,13.7024866771303,-1.65063706109379,-0.160882156144541,-0.0108056915563389
1.44591155778894,-24.0625444983059,-0.553922812083544,-0.0567301619705007,-0.00164447058070741,13.5535783397223,-1.68084964268892,-0.163156535646505,-0.01104324108865
1.45470502512563,-24.1801404878524,-0.550693886131924,-0.0563722187887669,-0.0016178506658982,13.4126208449994,-1.71187332270952,-0.165458514311661,-0.0112846443012649
1.46349849246231,-24.3148251566034,-0.547485949719437,-0.0560151671119308,-0.00159126701758832,13.2792430879575,-1.74374181299693,-0.167788443113841,-0.011529938237882
1.472291959799,-24.4667549687429,-0.544298737492937,-0.0556589922479848,-0.00156471810364252,13.1531061285927,-1.77649080133066,-0.17014667991182,-0.0117791601208086
1.48108542713568,-24.6361501654573,-0.541131988630733,-0.0553036798509339,-0.00153820242279372,13.0339005845253,-1.8101581021235,-0.172533589635324,-0.0120323473588718
1.48987889447236,-24.823295447036,-0.537985446763379,-0.0549492159175962,-0.00151171850568468,12.9213443349528,-1.84478382137854,-0.17494954447636,-0.0122895375554696
1.49867236180905,-25.0285412464911,-0.534858859895295,-0.0545955867842076,-0.00148526491589538,12.8151805008807,-1.88041053753036,-0.177394924086015,-0.0125507685167778
1.50746582914573,-25.2523056045923,-0.531751980327995,-0.0542427791229693,-0.00145884025092915,12.7151756719111,-1.91708350001233,-0.179870115777214,-0.0128160782601041
1.51625929648241,-25.4950766663558,-0.528664564583842,-0.0538907799383689,-0.00143244314316188,12.6211183543633,-1.95485084763492,-0.182375514733297,-0.0130855050223682
1.5250527638191,-25.757415829854,-0.525596373330779,-0.0535395765634874,-0.00140607226068095,12.5328176194943,-1.99376384915514,-0.18491152422281,-0.0133590872687176
1.53384623115578,-26.0399615895345,-0.522547171308515,-0.0531891566561726,-0.00137972630811919,12.4501019340338,-2.03387716875268,-0.187478555820862,-0.0136368637012919
1.54263969849246,-26.3434341284357,-0.519516727255466,-0.052839508195074,-0.00135340402744106,12.3728181582622,-2.07524915951369,-0.190077029637104,-0.0139188732681031
1.55143316582915,-26.6686407273901,-0.51650481383655,-0.0524906194756052,-0.00132710419866423,12.3008306996232,-2.11794218848168,-0.192707374550635,-0.0142051551720383
1.56022663316583,-27.0164820746104,-0.513511207571957,-0.0521424791058148,-0.00130082564051937,12.2340208123397,-2.16202299736607,-0.195370028452115,-0.0144957488799853
1.56902010050251,-27.3879595766579,-0.510535688767578,-0.0517950760021713,-0.0012745672111271,12.1722860358332,-2.20756310362612,-0.198065438493607,-0.0147906941321149
1.5778135678392,-27.7841837918108,-0.507578041445232,-0.0514483993853381,-0.00124832780847534,12.1155397668609,-2.25463924737014,-0.200794061345885,-0.0150900309512199
1.58660703517588,-28.2063841309159,-0.50463805327518,-0.0511024387757333,-0.0012221063710716,12.0637109625286,-2.30333389039558,-0.203556363464241,-0.0153937996522415
1.59540050251256,-28.6559199982276,-0.501715515508584,-0.0507571839891872,-0.00119590187833884,12.0167439733175,-2.35373577469833,-0.206352821362469,-0.0157020408518656
1.60419396984925,-29.1342935782124,-0.498810222911343,-0.0504126251324032,-0.00116971335111653,11.9745985075353,-2.40594054901608,-0.209183921895731,-0.016014795478249
