beta,factor,rc,rb.1,rb.2,m,rc.1,rc.2,rb.3,rc.3,rb.4,rc.4,rb.5
0.566564824120603,6.25503707076887,,-10.8268821358957,-0.750021802971552,4,-1.85468962459016,-0.262754345751729,-0.116713054523045,-0.0356096716573254,-0.0118707189384073,-0.001775726830406,-0.0002164137552056
0.575358291457286,6.48662024136593,,-11.1151938889745,-0.758564234178056,4,-1.84133085071303,-0.261515221244712,-0.118183686393373,-0.0354458189591788,-0.0121054041867901,-0.001763115025732,-0.0002251194709219
0.58415175879397,6.72990646730534,,-11.4161533837466,-0.767213673559496,4,-1.82812983932518,-0.260284346269086,-0.119669366636148,-0.0352827712222706,-0.0123436380161785,-0.0017505404010683,-0.0002341222860374
0.592945226130653,6.98570090235318,,-11.7305864518496,-0.775971903216157,4,-1.81508389030016,-0.259061637976081,-0.121170234259959,-0.0351205216597183,-0.0125854561130675,-0.0017380026763763,-0.0002434308691611
0.601738693467337,7.25488119551421,,-12.0593919860551,-0.784840745180941,4,-1.80219036266265,-0.257847014266011,-0.12268642971551,-0.0349590634445299,-0.01283089429433,-0.0017255015893835,-0.0002530540586931
0.61053216080402,7.5384057205191,,-12.403550183296,-0.793822062025268,4,-1.78944667173867,-0.256640393598675,-0.124218094830666,-0.0347983896854465,-0.013079988495094,-0.0017130368939904,-0.0002630008628164
0.619325628140704,7.83732295485878,,-12.7641319499165,-0.802917758742055,4,-1.77685028921704,-0.255441695213167,-0.125765372937411,-0.0346384934571311,-0.0133327747777393,-0.0017006083609191,-0.000273280457759
0.628119095477387,8.1527821828079,,-13.1423096171454,-0.812129783146256,4,-1.76439873981404,-0.254250838844469,-0.127328408758983,-0.034479367761435,-0.0135892893118235,-0.0016882157763393,-0.000283902189547
0.63691256281407,8.48604576501047,,-13.5393692383605,-0.821460127828157,4,-1.75208960136471,-0.253067744933707,-0.12890734853455,-0.0343210055565147,-0.0138495683838271,-0.0016758589420277,-0.0002948755709318
0.645706030150754,8.83850323014414,,-13.956724697723,-0.830910830966838,4,-1.73992050231938,-0.251892334462078,-0.130502339963061,-0.0341633997354096,-0.0141136483845076,-0.0016635376745092,-0.0003062102815702
0.654499497487437,9.21168752515728,,-14.395933984359,-0.840483977812071,4,-1.727889120683,-0.250724528979624,-0.132113532239506,-0.0340065431304118,-0.0143815658089781,-0.001651251804307,-0.0003179161648729
0.663292964824121,9.6072938143921,,-14.8587180157961,-0.850181702129598,4,-1.71599318281553,-0.24956425060144,-0.133741076076745,-0.0338504285122536,-0.0146533572499819,-0.001639001175605,-0.0003300032290539
0.672086432160804,10.0272013051074,,-15.3469824870717,-0.860006187584959,4,-1.70423046198683,-0.248411421982318,-0.135385123718027,-0.0336950485887103,-0.0149290593958393,-0.0016267856451695,-0.0003424816436644
0.680879899497487,10.473498686419,,-15.8628433363796,-0.86995966935927,4,-1.6925987773658,-0.247265966337924,-0.137045828974192,-0.033540396007881,-0.0152087090279186,-0.0016146050822341,-0.0003553617382885
0.689673366834171,10.9485138929101,,-16.4086565317481,-0.880044435327273,4,-1.68109599210243,-0.246127807316555,-0.138723347176735,-0.0333864633411377,-0.0154923430094289,-0.0016024593666445,-0.0003686540002524
0.698466834170854,11.4548490865783,,-16.987053085107,-0.890262828162408,4,-1.66972001309198,-0.244996869140484,-0.140417835283792,-0.0332332431046269,-0.0157799982896713,-0.0015903483889967,-0.0003823690739426
0.707260301507538,11.9954219409901,,-17.600980361985,-0.900617246650082,4,-1.65846878917023,-0.243873076483221,-0.142129451836182,-0.0330807277422678,-0.0160717118945981,-0.0015782720493198,-0.0003965177568725
0.716053768844221,12.5735146045369,,-18.2537510755901,-0.911110147527192,4,-1.64734031020911,-0.242756354494141,-0.14385835699861,-0.0329289096313218,-0.0163675209250353,-0.0015662302562609,-0.000411110997472
0.724847236180905,13.1928320574942,,-18.9491016761352,-0.921744047373292,4,-1.63633260622313,-0.241646628807561,-0.145604712591275,-0.0327777810841313,-0.0166674625526656,-0.0015542229261061,-0.0004261598933147
