"beta","factor","rc","rb.1","rb.2"
0.25,1.28262697003586,-0.149196593220816,-0.479155035951386,-0.00173157395010666
0.258793467336683,1.29645595965525,-0.147391071717503,-0.492725806184315,-0.00183511017052271
0.267586934673367,1.31065765706238,-0.145612567848239,-0.506694586571428,-0.00194276928455144
0.27638040201005,1.32524671290926,-0.143860483698697,-0.521075986238418,-0.0020547059381381
0.285173869346734,1.34023848921501,-0.142134237887939,-0.535885337850356,-0.00217107979302484
0.293967336683417,1.35564910464466,-0.140433265035584,-0.551138742792081,-0.00229205564088725
0.3027608040201,1.37149548319038,-0.138757015251059,-0.566853119760423,-0.00241780351770969
0.311554271356784,1.38779540656074,-0.137104953643788,-0.583046257073525,-0.00254849881830664
0.320347738693467,1.40456757061471,-0.135476559853184,-0.599736869034095,-0.00268432241088796
0.329141206030151,1.42183164621316,-0.133871327597534,-0.61694465671931,-0.00282546075158169
0.337934673366834,1.43960834489971,-0.132288764240731,-0.634690373609085,-0.00297210599880527
0.346728140703518,1.45791948986699,-0.130728390375897,-0.652995896508841,-0.00312445612740886
0.355521608040201,1.47678809271482,-0.129189739425116,-0.671884302273345,-0.00328271504248774
0.364315075376884,1.49623843656226,-0.127672357254347,-0.691379950893451,-0.00344709269279213
0.373108542713568,1.51629616613874,-0.126175801802777,-0.711508575571118,-0.00361780518364601
0.381902010050251,1.53698838555078,-0.124699642725811,-0.732297380479169,-0.00379507488930052
0.390695477386935,1.55834376450111,-0.123243461051045,-0.753775146982833,-0.00397913056465963
0.399488944723618,1.58039265382797,-0.121806848846442,-0.775972349190642,-0.00417020745631131
0.408282412060301,1.60316721133556,-0.120389408900147,-0.798921279806122,-0.00436854741281128
0.417075879396985,1.62670153900413,-0.118990754411279,-0.822656187368609,-0.00457439899418224
0.425869346733668,1.65103183280078,-0.117610508691084,-0.84721342610448,-0.00478801758058014
0.434662814070352,1.67619654646523,-0.116248304873973,-0.872631619763269,-0.00500966548012092
0.443456281407035,1.7022365708171,-0.114903785637814,-0.898951840985308,-0.00523961203583892
0.452249748743719,1.7291954303312,-0.11357660293305,-0.926217807947636,-0.00547813373178836
0.461043216080402,1.7571194989545,-0.112266417720138,-0.954476100262006,-0.00572551429829561
0.469836683417085,1.78605823740057,-0.110972899714854,-0.983776396361045,-0.00598204481639218
0.478630150753769,1.81606445445909,-0.109695727141052,-1.01417173491042,-0.00624802382146858
0.487423618090452,1.84719459520625,-0.108434586490468,-1.0457188031331,-0.00652375740621066
0.496217085427136,1.87950905940485,-0.107189172289204,-1.07847825533482,-0.00680955932289101
0.505010552763819,1.91307255385037,-0.105959186870521,-1.11251506538727,-0.00710575108511069
0.513804020100503,1.94795448296279,-0.104744340153632,-1.14789891746928,-0.00741266206909948
0.522597487437186,1.98422938255751,-0.103544349428148,-1.18470463999953,-0.00773062961470889
0.531390954773869,2.02197740246978,-0.102358939143954,-1.22301268843582,-0.00805999912624714
0.540184422110553,2.06128484457441,-0.101187840706173,-1.26290968348274,-0.00840112417332569
0.548977889447236,2.10224476376371,-0.100030792275027,-1.30448901227157,-0.00875436659191376
0.55777135678392,2.14495764064955,-0.0988875385703364,-1.34785150127839,-0.00912009658580959
0.566564824120603,2.18953213617769,-0.097757830680462,-1.39310617116934,-0.00949869282877519
0.575358291457286,2.23608594003139,-0.0966414258754982,-1.4403710854503,-0.00989054256758502
0.58415175879397,2.28474672670955,-0.0955380874245379,-1.48977430680705,-0.0102960417262794
0.592945226130653,2.33565323556505,-0.0944475844168551,-1.54145497742215,-0.0107155950119321
0.601738693467337,2.38895649396562,-0.0933696915868782,-1.59556454243132,-0.0111496160222598
0.61053216080402,2.44482120620043,-0.0923041891428031,-1.65226813914333,-0.0115985273554413
0.619325628140704,2.5034273349369,-0.0912508625987595,-1.71174617882869,-0.0120627607225196
0.628119095477387,2.56497190710282,-0.0902095026104347,-1.77419615295281,-0.0125427570628099
0.63691256281407,2.62967108224432,-0.0891799048140541,-1.83983470190504,-0.0130389666627431
0.645706030150754,2.69776252896608,-0.0881618696686721,-1.90889999183085,-0.0135518492786052
0.654499497487437,2.76950816434612,-0.0871552023017056,-1.98165445446038,-0.0140818742636759
0.663292964824121,2.84519732268594,-0.0861597123576591,-2.05838795629498,-0.0146295207002705
0.672086432160804,2.92515043419413,-0.0851752138500258,-2.13942147775103,-0.0151952775372409
0.680879899497487,3.00972331196814,-0.0842015250163133,-2.22511140062656,-0.0157796437335031
0.689673366834171,3.0993121679382,-0.0832384681762027,-2.31585452455591,-0.0163831284081985
0.698466834170854,3.19435950658772,-0.0822858695928099,-2.41209396126792,-0.0170062509981154
0.707260301507538,3.2953610810269,-0.0813435593370655,-2.5143260912256,-0.0176495414230308
0.716053768844221,3.40287414172469,-0.0804113711552074,-2.62310881295358,-0.0183135402596657
0.724847236180905,3.51752726708672,-0.0794891423393984,-2.73907137424269,-0.0189987989249651
0.733640703517588,3.6400321414437,-0.0785767136014844,-2.86292615079723,-0.0197058798694583
0.742434170854271,3.77119774586071,-0.0776739289499125,-2.99548283773704,-0.0204353567814764
0.751227638190955,3.91194755878553,-0.0767806355698282,-3.13766565097433,-0.0211878148030375
0.760021105527638,4.06334053856681,-0.0758966837063755,-3.2905343104975,-0.0219638507582427
0.768814572864322,4.22659689479464,-0.0750219265512262,-3.45530981251641,-0.0227640733950642
